was был
is есть
of о      
and и      
to к      
in в      
he он      
it оно      
that то      
for для      
they они      
with с      
as как      
on на      
she она      
at в      
by к      
this это      
we мы      
you вы      
do выполнять      
but но      
from из      
or или      
which какой      
one один      
would будет
all все      
will воля      
there там
say говорить      
who кто      
make делать      
when когда          
more больше      
if если      
no бесполезно            
out внешний      
other другая      
so если      
what какой      
time время      
up по           
about в      
than чем      
into в      
state государственный      
only единственный      
new вновь      
year год      
some какой-нибудь      
take брать       
come приходить      
these эти      
